order_id,customer_id,order_date,channel,region
1,88,2025-02-16,Retail,East
2,182,2025-04-29,Retail,North
3,157,2026-01-18,Retail,West
4,91,2025-06-22,Retail,West
5,104,2026-01-30,Online,West
6,50,2025-05-31,Partner,East
7,33,2025-06-30,Online,South
8,126,2025-03-19,Partner,South
9,156,2025-12-12,Partner,North
10,20,2025-05-01,Online,East
11,109,2025-04-09,Partner,North
12,74,2025-09-22,Online,East
13,7,2025-03-28,Online,South
14,24,2025-10-08,Retail,East
15,81,2025-06-19,Retail,South
16,53,2025-06-26,Partner,North
17,24,2025-06-05,Online,East
18,131,2026-02-06,Retail,East
19,69,2025-02-11,Retail,West
20,12,2025-07-22,Partner,East
21,4,2025-04-24,Retail,North
22,167,2025-03-23,Retail,East
23,26,2025-12-31,Partner,South
24,44,2025-05-10,Online,East
25,177,2025-06-18,Retail,West
26,180,2025-07-11,Online,East
27,57,2026-01-01,Online,West
28,188,2025-04-18,Online,West
29,76,2025-08-02,Online,East
30,143,2025-08-16,Online,East
31,173,2026-01-20,Retail,East
32,180,2025-07-14,Partner,East
33,127,2025-04-10,Online,North
34,114,2025-09-25,Online,West
35,16,2025-09-01,Retail,North
36,165,2026-01-03,Partner,South
37,145,2025-05-26,Online,North
38,151,2025-07-25,Online,North
39,129,2025-06-03,Partner,South
40,141,2026-02-09,Retail,East
41,107,2025-03-30,Retail,East
42,34,2025-11-21,Online,West
43,185,2025-03-08,Retail,West
44,147,2025-06-05,Retail,South
45,97,2025-09-12,Retail,West
46,40,2025-05-01,Partner,South
47,156,2025-09-24,Retail,West
48,125,2025-11-06,Partner,West
49,2,2025-05-25,Retail,North
50,34,2025-08-23,Partner,North
51,84,2025-05-08,Partner,East
52,86,2025-05-07,Online,South
53,115,2026-01-24,Partner,West
54,116,2025-03-01,Online,West
55,147,2026-01-09,Online,West
56,100,2025-09-07,Retail,South
57,170,2025-04-23,Retail,West
58,80,2025-05-13,Online,West
59,42,2025-05-13,Partner,North
60,95,2026-01-23,Partner,East
61,183,2025-11-01,Online,West
62,38,2025-09-21,Online,North
63,38,2025-04-21,Online,West
64,136,2025-09-14,Online,West
65,153,2025-11-11,Online,North
66,135,2025-08-13,Online,South
67,35,2025-03-04,Retail,West
68,17,2025-10-02,Online,West
69,122,2025-06-19,Online,North
70,99,2025-08-02,Online,East
71,79,2025-09-26,Partner,East
72,164,2025-03-11,Online,East
73,200,2026-01-06,Retail,West
74,64,2025-04-09,Online,North
75,116,2025-05-09,Partner,East
76,171,2025-08-06,Partner,South
77,34,2025-12-20,Online,South
78,175,2025-11-01,Retail,North
79,51,2026-01-01,Partner,West
80,40,2025-05-08,Partner,West
81,124,2025-06-15,Partner,East
82,188,2025-08-05,Retail,North
83,158,2025-09-12,Online,North
84,6,2025-03-28,Retail,East
85,74,2025-11-11,Online,South
86,116,2025-11-18,Retail,South
87,51,2025-12-15,Partner,East
88,87,2025-10-27,Partner,East
89,162,2025-12-24,Retail,North
90,106,2026-01-29,Online,East
91,174,2026-01-24,Partner,West
92,102,2025-08-05,Online,West
93,168,2025-06-21,Partner,East
94,158,2025-12-07,Online,North
95,14,2025-04-02,Retail,West
96,197,2025-03-27,Partner,North
97,73,2025-09-30,Partner,East
98,166,2025-06-21,Partner,North
99,173,2025-05-19,Online,East
100,78,2025-12-05,Partner,South
101,177,2025-04-11,Partner,West
102,196,2025-06-16,Partner,South
103,131,2025-09-26,Online,East
104,186,2025-02-21,Retail,West
105,109,2025-08-05,Partner,South
106,35,2026-01-10,Retail,South
107,119,2026-01-20,Partner,East
108,173,2026-02-05,Online,North
109,194,2025-03-10,Online,West
110,61,2025-07-14,Online,North
111,82,2026-02-01,Retail,East
112,182,2025-04-24,Retail,South
113,49,2025-12-07,Partner,North
114,102,2025-06-12,Partner,West
115,195,2025-07-23,Online,West
116,40,2025-05-21,Retail,North
117,44,2025-04-22,Partner,East
118,172,2025-03-06,Online,East
119,96,2025-03-12,Partner,East
120,135,2025-04-27,Online,North
121,142,2025-10-11,Online,South
122,136,2025-03-03,Online,North
123,62,2025-11-27,Retail,West
124,153,2025-09-01,Retail,South
125,76,2025-06-16,Partner,South
126,190,2025-08-28,Retail,West
127,93,2025-06-28,Online,North
128,132,2025-09-06,Online,South
129,84,2025-08-26,Online,West
130,43,2025-09-20,Retail,East
131,35,2025-07-15,Online,East
132,123,2025-07-20,Online,East
133,52,2025-12-10,Partner,North
134,123,2025-12-05,Retail,East
135,28,2025-02-15,Online,West
136,119,2026-01-23,Partner,North
137,53,2025-11-03,Retail,West
138,133,2025-05-10,Partner,North
139,51,2025-09-28,Partner,East
140,136,2026-01-03,Retail,East
141,36,2025-12-01,Retail,East
142,36,2025-05-16,Retail,East
143,195,2025-06-02,Retail,South
144,30,2025-06-27,Partner,West
145,199,2025-06-11,Online,West
146,174,2025-03-30,Online,East
147,64,2025-04-25,Partner,West
148,97,2025-09-29,Online,South
149,56,2025-09-17,Online,East
150,26,2025-12-27,Retail,South
151,110,2025-05-24,Partner,North
152,186,2026-02-03,Online,East
153,20,2025-04-18,Partner,North
154,165,2026-01-22,Online,South
155,90,2025-09-17,Retail,North
156,200,2026-01-29,Online,West
157,127,2025-08-26,Online,North
158,5,2025-12-07,Online,South
159,22,2026-01-03,Partner,North
160,80,2026-02-02,Retail,North
161,117,2025-12-20,Partner,South
162,43,2025-08-19,Online,West
163,70,2025-11-05,Online,West
164,63,2025-03-05,Retail,West
165,173,2025-03-08,Online,North
166,127,2025-05-21,Partner,North
167,86,2025-02-10,Partner,East
168,106,2026-02-03,Retail,East
169,20,2025-12-10,Partner,South
170,200,2025-12-06,Online,North
171,31,2025-11-11,Retail,North
172,92,2025-08-31,Partner,South
173,32,2025-02-16,Online,North
174,6,2025-03-15,Online,East
175,111,2025-08-31,Retail,South
176,106,2025-11-18,Retail,South
177,165,2025-11-06,Online,South
178,15,2025-10-09,Partner,West
179,8,2026-02-05,Partner,West
180,88,2025-05-11,Retail,South
181,199,2025-04-07,Partner,West
182,151,2025-04-02,Retail,West
183,92,2025-06-04,Partner,North
184,57,2026-01-03,Partner,South
185,64,2026-01-30,Online,West
186,90,2025-11-16,Retail,South
187,97,2025-05-03,Partner,South
188,68,2026-01-14,Retail,West
189,110,2025-03-26,Retail,East
190,79,2025-09-01,Retail,East
191,58,2025-06-27,Partner,South
192,59,2025-11-20,Online,East
193,45,2025-05-06,Online,North
194,153,2025-06-22,Retail,South
195,71,2025-11-03,Retail,South
196,147,2025-12-18,Retail,South
197,177,2025-06-11,Online,East
198,35,2025-07-13,Partner,East
199,96,2025-03-10,Partner,North
200,200,2025-11-05,Partner,South
201,181,2025-05-22,Retail,West
202,42,2025-06-22,Partner,South
203,6,2026-01-25,Online,East
204,183,2026-02-08,Partner,West
205,144,2026-01-07,Partner,West
206,49,2025-04-27,Partner,North
207,175,2025-04-22,Partner,South
208,172,2025-08-12,Partner,West
209,186,2025-11-23,Online,West
210,108,2025-07-29,Retail,West
211,39,2025-04-21,Online,West
212,148,2025-05-02,Retail,South
213,137,2025-05-23,Partner,West
214,49,2025-02-19,Partner,South
215,43,2025-03-15,Online,West
216,43,2025-09-04,Online,North
217,183,2026-01-09,Online,East
218,114,2025-08-23,Online,West
219,131,2025-12-23,Online,West
220,52,2025-06-24,Partner,North
221,172,2025-03-27,Online,East
222,76,2025-06-25,Retail,South
223,93,2026-01-22,Retail,East
224,170,2026-01-07,Online,West
225,70,2025-08-26,Partner,East
226,157,2025-02-24,Partner,North
227,58,2026-01-18,Retail,South
228,43,2025-03-20,Retail,West
229,21,2025-10-03,Retail,East
230,128,2026-01-10,Online,South
231,58,2025-09-30,Retail,East
232,12,2025-05-05,Retail,North
233,32,2025-09-28,Retail,North
234,156,2025-07-24,Partner,East
235,81,2026-02-09,Partner,North
236,129,2025-11-14,Partner,West
237,147,2026-01-17,Partner,East
238,53,2025-11-14,Online,West
239,100,2025-09-11,Partner,West
240,48,2025-05-09,Partner,South
241,14,2025-12-27,Partner,West
242,104,2025-03-29,Retail,North
243,193,2026-01-08,Online,South
244,99,2025-06-21,Partner,West
245,132,2025-10-28,Retail,East
246,22,2025-03-31,Online,South
247,176,2025-09-15,Online,North
248,59,2025-06-22,Retail,East
249,92,2025-10-25,Online,West
250,76,2025-12-31,Online,West
251,79,2025-05-28,Partner,West
252,65,2025-05-20,Online,North
253,26,2025-07-05,Partner,South
254,146,2025-08-15,Retail,East
255,174,2025-07-29,Retail,East
256,130,2025-12-30,Online,East
257,102,2025-08-15,Partner,South
258,145,2025-11-26,Partner,North
259,12,2025-03-02,Partner,West
260,190,2025-06-24,Partner,North
261,2,2025-10-24,Online,East
262,155,2025-04-11,Partner,North
263,162,2025-10-30,Online,North
264,104,2025-12-13,Partner,South
265,197,2025-05-14,Partner,West
266,99,2025-04-18,Online,South
267,158,2025-12-14,Online,South
268,139,2025-02-10,Partner,East
269,105,2025-06-21,Online,South
270,97,2026-01-11,Online,West
271,124,2025-05-12,Retail,East
272,26,2025-05-30,Partner,East
273,154,2025-09-20,Online,South
274,15,2025-05-10,Partner,East
275,41,2025-03-26,Retail,East
276,58,2025-12-17,Online,East
277,65,2026-01-31,Retail,East
278,138,2025-02-14,Partner,West
279,122,2025-07-20,Retail,North
280,158,2025-02-13,Partner,South
281,123,2025-11-13,Online,West
282,157,2025-06-22,Online,West
283,180,2025-08-19,Retail,East
284,51,2025-04-25,Partner,North
285,16,2025-05-31,Retail,East
286,93,2025-11-23,Partner,West
287,91,2025-07-26,Partner,East
288,21,2025-05-03,Retail,North
289,106,2025-05-06,Online,South
290,25,2025-03-14,Retail,South
291,27,2025-06-24,Partner,North
292,189,2025-07-05,Retail,North
293,139,2025-06-29,Partner,East
294,112,2025-11-05,Partner,West
295,89,2025-07-06,Retail,South
296,184,2026-01-06,Retail,East
297,73,2026-01-08,Partner,West
298,6,2025-05-16,Online,West
299,96,2025-10-05,Partner,South
300,98,2025-02-16,Online,North
301,191,2025-11-18,Partner,South
302,4,2025-05-06,Retail,South
303,195,2025-12-27,Online,South
304,188,2025-05-19,Online,East
305,90,2025-07-25,Partner,East
306,199,2026-01-02,Partner,East
307,169,2025-11-12,Retail,North
308,26,2025-02-26,Partner,East
309,93,2025-11-22,Partner,East
310,25,2025-04-02,Partner,North
311,141,2025-09-03,Partner,West
312,96,2025-09-09,Partner,East
313,186,2025-02-27,Retail,South
314,94,2025-12-05,Online,North
315,25,2025-12-11,Partner,West
316,198,2025-07-31,Retail,East
